Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Captive deaths during crossing,Duration of captives' crossing (in days),Crew at voyage outset
1836,1452,Atenas,"Africa, port unspecified","Cuba, port unspecified",617,542,,,
1836,1453,Alerta,"Africa, port unspecified","Cuba, port unspecified",617,542,,,
1836,1454,Mercedita,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1836,1455,Isabel,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1836,1456,Dido,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1836,1457,Carmen,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1836,1458,Ramoncito,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1836,1459,S Pedro (a) Marinero,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1836,1460,Belencita,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1836,1461,Francisca,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1836,1462,Zafiro (a) Ricomar,"Whydah, Ouidah","Cuba, port unspecified",381,369,12,54,
1836,1463,Llobregat,Porto Novo,"Cuba, port unspecified",490,444,,,
1836,1464,Isabelita,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1836,1465,Manuelita,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1836,1466,Urraca,"Africa, port unspecified","Cuba, port unspecified",376,335,,,
1836,1467,Clarita,"Whydah, Ouidah",Havana,381,300,81,,
1836,1468,Atalaya,"Africa, port unspecified",Havana,284,270,,,
1836,1469,Empresa,Luanda,"Cuba, port unspecified",450,412,38,,26
1836,1470,Casimiro,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
